ball,box
12,2
10,1
10,1
13,3
9,1
12,1
12,1
13,1
13,1
12,1
13,1
12,1
12,1
16,3
13,1
13,1
13,1
14,1
13,1
13,1
12,1
13,1
14,1
13,1
13,1
14,2
13,1
14,2
13,2
12,1
13,2
13,1
13,1
13,2
12,2
14,2
13,1
11,1
11,1
13,1
13,1
12,1
14,2
13,1
12,1
12,1
11,1
13,1
14,1
14,1
14,2
13,1
13,1
14,1
11,1
15,1
14,2
11,1
14,2
14,1
13,1
13,1
12,1
13,1
13,2
12,1
12,2
12,2
13,1
12,1
12,1
11,1
12,1
14,1
13,1
12,1
12,1
11,1
14,2
12,1
13,1
14,2
12,1
13,2
14,1
14,2
13,1
14,1
13,1
13,1
11,1
15,1
13,1
13,1
13,1
14,2
14,1
12,1
14,2
11,1
13,1
14,1
12,1
14,1
14,1
13,1
14,1
13,1
10,1
11,1
15,2
14,1
12,1
13,1
12,1
15,2
13,1
12,1
14,1
13,1
13,1
14,2
15,2
13,1
14,1
13,2
14,1
11,1
13,1
14,1
12,1
13,1
12,1
13,1
14,1
12,1
12,1
13,1
13,1
14,1
12,1
13,1
12,1
13,1
14,1
15,2
12,1
10,1
13,2
12,1
14,1
14,1
12,1
12,1
14,1
15,2
