ball, box
7, 2
7, 2
9, 3
7, 2
7, 3
8, 2
6, 2
6, 2
7, 2
9, 3
7, 2
7, 2
7, 2
8, 2
8, 2
8, 3
8, 2
6, 1
7, 2
7, 2
7, 2
8, 2
7, 2
8, 3
7, 2
8, 2
8, 3
9, 2
7, 2
7, 2
6, 1
7, 2
5, 1
7, 1
6, 1
7, 1
8, 2
6, 2
8, 2
8, 2
9, 3
7, 2
9, 3
8, 4
8, 2
5, 1
8, 2
7, 3
6, 1
6, 2
7, 1
7, 2
6, 1
6, 1
6, 0
6, 0
4, 0
5, 0
5, 0
5, 0
5, 0
6, 0
7, 0
6, 0
7, 0
7, 0
6, 0
5, 0
7, 0
6, 0
6, 0
6, 16
5, 19
5, 18
4, 16
4, 15
4, 16
4, 16
4, 15
4, 15
3, 15
3, 15
3, 14
3, 14
2, 14
2, 12
2, 14
2, 14
2, 13
2, 14
2, 14
2, 13
2, 13
2, 14
2, 14
2, 13
2, 13
2, 13
2, 14
2, 13
2, 14
2, 12
2, 12
2, 12
2, 13
2, 13
2, 12
2, 13
2, 13
2, 13
2, 14
2, 14
2, 14
2, 14
2, 13
1, 12
1, 12
1, 13
1, 12
0, 12
0, 11
0, 10
0, 11
0, 11
0, 12
0, 11
0, 12
0, 9
0, 12
0, 11
0, 12
0, 12
0, 11
0, 10
0, 11
0, 12
0, 13
0, 12
0, 10
0, 10
0, 11
0, 10
0, 11
0, 11
0, 11
0, 10
0, 8
0, 11
